482,330
485,331
487,333
488,333
490,336
491,336
493,336
495,336
498,336
499,335
502,335
503,335
505,335
507,335
508,335
509,336
511,335
511,331
512,326
512,323
514,320
514,317
516,315
516,313
517,311
517,309
518,306
520,304
520,301
521,299
523,298
523,295
524,293
525,292
526,293
526,291
527,289
526,285
526,281
526,277
528,273
527,271
529,268
528,266
528,265
528,263
528,260
529,258
529,254
530,252
530,249
530,247
531,246
530,244
530,243
529,240
528,237
526,232
524,229
523,226
522,224
522,222
522,221
520,220
518,219
518,217
515,215
514,211
513,210
512,207
510,205
507,204
507,205
504,205
501,203
499,201
496,198
493,194
489,191
485,189
483,186
480,185
476,184
472,184
469,184
465,182
462,180
460,178
458,177
454,176
453,175
450,174
448,174
445,175
443,174
440,172
435,169
432,166
427,164
424,163
421,161
417,160
414,159
410,160
407,159
405,158
401,157
399,155
396,155
393,154
391,155
388,156
384,157
382,158
379,159
375,159
373,159
368,157
365,157
362,157
359,156
357,156
354,158
352,158
350,159
350,159
348,158
346,157
346,157
345,157
344,157
344,159
343,159
343,161
343,163
341,164
340,162
339,162
337,161
337,161
336,162
336,162
336,163
335,165
334,166
334,166
335,165
334,166
334,166
333,167
334,168
333,170
333,172
333,174
332,175
330,175
328,174
326,174
324,173
323,173
322,174
320,175
320,177
318,179
316,179
314,180
314,179
312,179
310,180
310,180
307,181
307,184
305,185
304,187
301,188
299,188
296,187
292,187
290,188
287,187
285,188
282,189
281,191
278,193
276,193
274,194
273,193
272,193
269,193
268,193
266,194
265,195
265,197
264,198
263,199
262,198
259,197
258,196
256,196
256,196
254,197
254,197
252,198
252,199
252,199
251,198
250,197
250,197
250,196
250,197
250,197
249,197
250,198
250,199
250,198
249,197
248,196
248,196
247,196
247,196
